pop_2012,chart_month,county,eligible_population_enrolled,location,month,opo,population_18_estimate,registry_enrollments,year,dummy_day,date,year_sp_2012,year_sp_2016,year_sp_2017,total_days
216469,11 (Nov),Niagara,40.71,"(43.134634, -78.856419)",11,UNYTS,168153,68448,2015,01,2015-11-01,1126,0,0,2617
234878,11 (Nov),Oneida,20.64,"(43.149482, -75.361773)",11,Center for Donation and Transplant in New York,182453,37659,2015,01,2015-11-01,1126,0,0,2617
467026,11 (Nov),Onondaga,34.36,"(43.065629, -76.168033)",11,Finger Lakes Donor Recovery Network,362786,124658,2015,01,2015-11-01,1126,0,0,2617
107931,11 (Nov),Ontario,41.73,"(42.894571, -77.252045)",11,Finger Lakes Donor Recovery Network,83841,34985,2015,01,2015-11-01,1126,0,0,2617
372813,11 (Nov),Orange,26.51,"(41.422459, -74.241929)",11,New York Organ Donor Network,289601,76763,2015,01,2015-11-01,1126,0,0,2617
42883,11 (Nov),Orleans,10.15,"(43.248394, -78.218438)",11,UNYTS,33312,3380,2015,01,2015-11-01,1126,0,0,2617
122109,11 (Nov),Oswego,30.97,"(43.39123, -76.31133)",11,Finger Lakes Donor Recovery Network,94854,29379,2015,01,2015-11-01,1126,0,0,2617
62259,11 (Nov),Otsego,35.2,"(42.564852, -75.060334)",11,Center for Donation and Transplant in New York,48363,17026,2015,01,2015-11-01,1126,0,0,2617
99710,11 (Nov),Putnam,33.85,"(41.41131, -73.717443)",11,New York Organ Donor Network,77455,26221,2015,01,2015-11-01,1126,0,0,2617
2230722,11 (Nov),Queens,13.6,"(40.749338, -73.789673)",11,New York Organ Donor Network,1732825,235679,2015,01,2015-11-01,1126,0,0,2617
159429,11 (Nov),Rensselaer,32.46,"(42.70098, -73.628669)",11,Center for Donation and Transplant in New York,123844,40200,2015,01,2015-11-01,1126,0,0,2617
468730,11 (Nov),Richmond,17.76,"(40.566763, -74.148102)",11,New York Organ Donor Network,364109,64668,2015,01,2015-11-01,1126,0,0,2617
311687,11 (Nov),Rockland,21.32,"(41.127287, -74.017033)",11,New York Organ Donor Network,242118,51631,2015,01,2015-11-01,1126,0,0,2617
219607,11 (Nov),Saratoga,45.11,"(43.00894, -73.786779)",11,Center for Donation and Transplant in New York,170591,76952,2015,01,2015-11-01,1126,0,0,2617
154727,11 (Nov),Schenectady,37.06,"(42.809233, -73.946838)",11,Center for Donation and Transplant in New York,120192,44538,2015,01,2015-11-01,1126,0,0,2617
32749,11 (Nov),Schoharie,34.67,"(42.643426, -74.434606)",11,Center for Donation and Transplant in New York,25439,8820,2015,01,2015-11-01,1126,0,0,2617
18343,11 (Nov),Schuyler,36.18,"(42.38593, -76.872032)",11,Finger Lakes Donor Recovery Network,14249,5155,2015,01,2015-11-01,1126,0,0,2617
35251,11 (Nov),Seneca,18.24,"(42.833627, -76.82753)",11,Finger Lakes Donor Recovery Network,27383,4996,2015,01,2015-11-01,1126,0,0,2617
98990,11 (Nov),Steuben,36.25,"(42.270053, -77.324618)",11,Finger Lakes Donor Recovery Network,76895,27877,2015,01,2015-11-01,1126,0,0,2617
111944,11 (Nov),St Lawrence,24.33,"(44.689468, -75.242045)",11,Center for Donation and Transplant in New York,86958,21161,2015,01,2015-11-01,1126,0,0,2617
1493350,11 (Nov),Suffolk,28.28,"(40.820237, -73.119032)",11,New York Organ Donor Network,1160034,328068,2015,01,2015-11-01,1126,0,0,2617
77547,11 (Nov),Sullivan,25.88,"(41.705166, -74.711705)",11,Center for Donation and Transplant in New York,60239,15589,2015,01,2015-11-01,1126,0,0,2617
51125,11 (Nov),Tioga,36.08,"(42.120252, -76.29595)",11,Center for Donation and Transplant in New York,39714,14327,2015,01,2015-11-01,1126,0,0,2617
101564,11 (Nov),Tompkins,50.79,"(42.461024, -76.478784)",11,Finger Lakes Donor Recovery Network,78895,40069,2015,01,2015-11-01,1126,0,0,2617
19378102,11 (Nov),TOTAL NYS,25.82,NA,11,NA,15052907,3887058,2015,01,2015-11-01,1126,0,0,2617
182493,11 (Nov),Ulster,31.77,"(41.848374, -74.099412)",11,Center for Donation and Transplant in New York,141761,45032,2015,01,2015-11-01,1126,0,0,2617
65707,11 (Nov),Warren,27.94,"(43.403024, -73.716044)",11,Center for Donation and Transplant in New York,51041,14259,2015,01,2015-11-01,1126,0,0,2617
63216,11 (Nov),Washington,30.35,"(43.289513, -73.454761)",11,Center for Donation and Transplant in New York,49106,14904,2015,01,2015-11-01,1126,0,0,2617
93772,11 (Nov),Wayne,29.82,"(43.144336, -77.117995)",11,Finger Lakes Donor Recovery Network,72842,21722,2015,01,2015-11-01,1126,0,0,2617
949113,11 (Nov),Westchester,24.34,"(41.039278, -73.805386)",11,New York Organ Donor Network,737271,179458,2015,01,2015-11-01,1126,0,0,2617
42155,11 (Nov),Wyoming,36.78,"(42.723641, -78.204473)",11,UNYTS,32746,12045,2015,01,2015-11-01,1126,0,0,2617
25348,11 (Nov),Yates,34.86,"(42.634338, -77.078311)",11,Finger Lakes Donor Recovery Network,19690,6864,2015,01,2015-11-01,1126,0,0,2617
304204,10 (Oct),Albany,31.09,"(42.678066, -73.814233)",10,Center for Donation and Transplant in New York,236306,73471,2015,01,2015-10-01,1095,0,0,2586
48946,10 (Oct),Allegany,34.29,"(42.226801, -78.020567)",10,UNYTS,38021,13039,2015,01,2015-10-01,1095,0,0,2586
1385108,10 (Oct),Bronx,14.3,"(40.85589, -73.868294)",10,New York Organ Donor Network,1075952,153892,2015,01,2015-10-01,1095,0,0,2586
200600,10 (Oct),Broome,34.53,"(42.122015, -75.933191)",10,Center for Donation and Transplant in New York,155826,53804,2015,01,2015-10-01,1095,0,0,2586
80317,10 (Oct),Cattauragus,35.71,"(42.224267, -78.606673)",10,UNYTS,62390,22278,2015,01,2015-10-01,1095,0,0,2586
80026,10 (Oct),Cayuga,31.52,"(42.940095, -76.560755)",10,Finger Lakes Donor Recovery Network,62164,19591,2015,01,2015-10-01,1095,0,0,2586
134905,10 (Oct),Chautauqua,37.41,"(42.246904, -79.315313)",10,UNYTS,104794,39205,2015,01,2015-10-01,1095,0,0,2586
88830,10 (Oct),Chemung,39.13,"(42.116644, -76.812331)",10,Finger Lakes Donor Recovery Network,69003,27000,2015,01,2015-10-01,1095,0,0,2586
50477,10 (Oct),Chenango,29.82,"(42.481798, -75.570013)",10,Finger Lakes Donor Recovery Network,39211,11694,2015,01,2015-10-01,1095,0,0,2586
82128,10 (Oct),Clinton,34.97,"(44.731944, -73.548883)",10,Center for Donation and Transplant in New York,63797,22310,2015,01,2015-10-01,1095,0,0,2586
63096,10 (Oct),Columbia,38.88,"(42.276913, -73.682168)",10,Center for Donation and Transplant in New York,49013,19054,2015,01,2015-10-01,1095,0,0,2586
49336,10 (Oct),Cortland,35.53,"(42.597101, -76.143291)",10,Finger Lakes Donor Recovery Network,38324,13616,2015,01,2015-10-01,1095,0,0,2586
47980,10 (Oct),Delaware,28.96,"(42.242972, -74.997944)",10,Center for Donation and Transplant in New York,37271,10793,2015,01,2015-10-01,1095,0,0,2586
297488,10 (Oct),Dutchess,31.42,"(41.686216, -73.840468)",10,Center for Donation and Transplant in New York,231089,72615,2015,01,2015-10-01,1095,0,0,2586
919040,10 (Oct),Erie,36.08,"(42.888143, -78.795544)",10,UNYTS,713910,257611,2015,01,2015-10-01,1095,0,0,2586
39370,10 (Oct),Essex,38.06,"(44.166026, -73.685145)",10,Center for Donation and Transplant in New York,30583,11639,2015,01,2015-10-01,1095,0,0,2586
51599,10 (Oct),Franklin,33.45,"(44.705699, -74.340621)",10,Center for Donation and Transplant in New York,40082,13409,2015,01,2015-10-01,1095,0,0,2586
55531,10 (Oct),Fulton,29.15,"(43.06014, -74.331296)",10,Center for Donation and Transplant in New York,43136,12575,2015,01,2015-10-01,1095,0,0,2586
60079,10 (Oct),Genesee,37.44,"(43.000121, -78.172679)",10,UNYTS,46669,17475,2015,01,2015-10-01,1095,0,0,2586
49221,10 (Oct),Greene,35.51,"(42.298326, -73.973376)",10,Center for Donation and Transplant in New York,38235,13577,2015,01,2015-10-01,1095,0,0,2586
4836,10 (Oct),Hamilton,38.67,"(43.618468, -74.395268)",10,Center for Donation and Transplant in New York,3757,1453,2015,01,2015-10-01,1095,0,0,2586
64519,10 (Oct),Herkimer,33.94,"(43.070026, -74.994246)",10,Center for Donation and Transplant in New York,50118,17012,2015,01,2015-10-01,1095,0,0,2586
116229,10 (Oct),Jefferson,40.15,"(44.019295, -75.898971)",10,Finger Lakes Donor Recovery Network,90287,36247,2015,01,2015-10-01,1095,0,0,2586
2504700,10 (Oct),Kings,16.83,"(40.65642, -73.950691)",10,New York Organ Donor Network,1945651,327392,2015,01,2015-10-01,1095,0,0,2586
27087,10 (Oct),Lewis,38.75,"(43.785537, -75.446296)",10,Finger Lakes Donor Recovery Network,21041,8153,2015,01,2015-10-01,1095,0,0,2586
65393,10 (Oct),Livingston,34.99,"(42.763754, -77.765392)",10,Finger Lakes Donor Recovery Network,50797,17774,2015,01,2015-10-01,1095,0,0,2586
73442,10 (Oct),Madison,34.78,"(42.986917, -75.720031)",10,Finger Lakes Donor Recovery Network,57050,19841,2015,01,2015-10-01,1095,0,0,2586
744344,10 (Oct),Monroe,30.94,"(43.161748, -77.620143)",10,Finger Lakes Donor Recovery Network,578206,178886,2015,01,2015-10-01,1095,0,0,2586
50219,10 (Oct),Montgomery,27.58,"(42.933637, -74.341972)",10,Center for Donation and Transplant in New York,39010,10759,2015,01,2015-10-01,1095,0,0,2586
1339532,10 (Oct),Nassau,22.35,"(40.715749, -73.601185)",10,New York Organ Donor Network,1040548,232551,2015,01,2015-10-01,1095,0,0,2586
1585873,10 (Oct),New York,34.64,"(40.726966, -74.005966)",10,New York Organ Donor Network,1231906,426697,2015,01,2015-10-01,1095,0,0,2586
216469,10 (Oct),Niagara,40.53,"(43.134634, -78.856419)",10,UNYTS,168153,68149,2015,01,2015-10-01,1095,0,0,2586
234878,10 (Oct),Oneida,20.51,"(43.149482, -75.361773)",10,Center for Donation and Transplant in New York,182453,37412,2015,01,2015-10-01,1095,0,0,2586
467026,10 (Oct),Onondaga,34.16,"(43.065629, -76.168033)",10,Finger Lakes Donor Recovery Network,362786,123925,2015,01,2015-10-01,1095,0,0,2586
107931,10 (Oct),Ontario,41.48,"(42.894571, -77.252045)",10,Finger Lakes Donor Recovery Network,83841,34776,2015,01,2015-10-01,1095,0,0,2586
372813,10 (Oct),Orange,26.34,"(41.422459, -74.241929)",10,New York Organ Donor Network,289601,76274,2015,01,2015-10-01,1095,0,0,2586
42883,10 (Oct),Orleans,10.06,"(43.248394, -78.218438)",10,UNYTS,33312,3352,2015,01,2015-10-01,1095,0,0,2586
122109,10 (Oct),Oswego,30.81,"(43.39123, -76.31133)",10,Finger Lakes Donor Recovery Network,94854,29229,2015,01,2015-10-01,1095,0,0,2586
62259,10 (Oct),Otsego,35.07,"(42.564852, -75.060334)",10,Center for Donation and Transplant in New York,48363,16962,2015,01,2015-10-01,1095,0,0,2586
99710,10 (Oct),Putnam,33.68,"(41.41131, -73.717443)",10,New York Organ Donor Network,77455,26086,2015,01,2015-10-01,1095,0,0,2586
2230722,10 (Oct),Queens,13.44,"(40.749338, -73.789673)",10,New York Organ Donor Network,1732825,232949,2015,01,2015-10-01,1095,0,0,2586
159429,10 (Oct),Rensselaer,32.25,"(42.70098, -73.628669)",10,Center for Donation and Transplant in New York,123844,39942,2015,01,2015-10-01,1095,0,0,2586
468730,10 (Oct),Richmond,17.62,"(40.566763, -74.148102)",10,New York Organ Donor Network,364109,64142,2015,01,2015-10-01,1095,0,0,2586
311687,10 (Oct),Rockland,21.19,"(41.127287, -74.017033)",10,New York Organ Donor Network,242118,51295,2015,01,2015-10-01,1095,0,0,2586
219607,10 (Oct),Saratoga,44.86,"(43.00894, -73.786779)",10,Center for Donation and Transplant in New York,170591,76529,2015,01,2015-10-01,1095,0,0,2586
154727,10 (Oct),Schenectady,36.87,"(42.809233, -73.946838)",10,Center for Donation and Transplant in New York,120192,44320,2015,01,2015-10-01,1095,0,0,2586
32749,10 (Oct),Schoharie,34.52,"(42.643426, -74.434606)",10,Center for Donation and Transplant in New York,25439,8782,2015,01,2015-10-01,1095,0,0,2586
18343,10 (Oct),Schuyler,36.02,"(42.38593, -76.872032)",10,Finger Lakes Donor Recovery Network,14249,5133,2015,01,2015-10-01,1095,0,0,2586
35251,10 (Oct),Seneca,18.18,"(42.833627, -76.82753)",10,Finger Lakes Donor Recovery Network,27383,4978,2015,01,2015-10-01,1095,0,0,2586
98990,10 (Oct),Steuben,36.06,"(42.270053, -77.324618)",10,Finger Lakes Donor Recovery Network,76895,27727,2015,01,2015-10-01,1095,0,0,2586
111944,10 (Oct),St Lawrence,24.33,"(44.689468, -75.242045)",10,Center for Donation and Transplant in New York,86958,21161,2015,01,2015-10-01,1095,0,0,2586
1493350,10 (Oct),Suffolk,28.14,"(40.820237, -73.119032)",10,New York Organ Donor Network,1160034,326452,2015,01,2015-10-01,1095,0,0,2586
77547,10 (Oct),Sullivan,25.72,"(41.705166, -74.711705)",10,Center for Donation and Transplant in New York,60239,15492,2015,01,2015-10-01,1095,0,0,2586
51125,10 (Oct),Tioga,35.9,"(42.120252, -76.29595)",10,Center for Donation and Transplant in New York,39714,14259,2015,01,2015-10-01,1095,0,0,2586
101564,10 (Oct),Tompkins,50.51,"(42.461024, -76.478784)",10,Finger Lakes Donor Recovery Network,78895,39851,2015,01,2015-10-01,1095,0,0,2586
19378102,10 (Oct),TOTAL NYS,25.64,NA,10,NA,15052907,3859064,2015,01,2015-10-01,1095,0,0,2586
182493,10 (Oct),Ulster,31.55,"(41.848374, -74.099412)",10,Center for Donation and Transplant in New York,141761,44731,2015,01,2015-10-01,1095,0,0,2586
65707,10 (Oct),Warren,27.82,"(43.403024, -73.716044)",10,Center for Donation and Transplant in New York,51041,14199,2015,01,2015-10-01,1095,0,0,2586
63216,10 (Oct),Washington,30.25,"(43.289513, -73.454761)",10,Center for Donation and Transplant in New York,49106,14853,2015,01,2015-10-01,1095,0,0,2586
93772,10 (Oct),Wayne,29.64,"(43.144336, -77.117995)",10,Finger Lakes Donor Recovery Network,72842,21587,2015,01,2015-10-01,1095,0,0,2586
949113,10 (Oct),Westchester,24.19,"(41.039278, -73.805386)",10,New York Organ Donor Network,737271,178358,2015,01,2015-10-01,1095,0,0,2586
42155,10 (Oct),Wyoming,36.6,"(42.723641, -78.204473)",10,UNYTS,32746,11986,2015,01,2015-10-01,1095,0,0,2586
25348,10 (Oct),Yates,34.69,"(42.634338, -77.078311)",10,Finger Lakes Donor Recovery Network,19690,6831,2015,01,2015-10-01,1095,0,0,2586
304204,09 (Sep),Albany,30.65,"(42.678066, -73.814233)",9,Center for Donation and Transplant in New York,236306,72439,2015,01,2015-09-01,1065,0,0,2556
48946,09 (Sep),Allegany,33.99,"(42.226801, -78.020567)",9,UNYTS,38021,12925,2015,01,2015-09-01,1065,0,0,2556
1385108,09 (Sep),Bronx,13.81,"(40.85589, -73.868294)",9,New York Organ Donor Network,1075952,148561,2015,01,2015-09-01,1065,0,0,2556
200600,09 (Sep),Broome,34.16,"(42.122015, -75.933191)",9,Center for Donation and Transplant in New York,155826,53229,2015,01,2015-09-01,1065,0,0,2556
80317,09 (Sep),Cattauragus,35.71,"(42.224267, -78.606673)",9,UNYTS,62390,22278,2015,01,2015-09-01,1065,0,0,2556
80026,09 (Sep),Cayuga,31.13,"(42.940095, -76.560755)",9,Finger Lakes Donor Recovery Network,62164,19350,2015,01,2015-09-01,1065,0,0,2556
134905,09 (Sep),Chautauqua,37.17,"(42.246904, -79.315313)",9,UNYTS,104794,38955,2015,01,2015-09-01,1065,0,0,2556
88830,09 (Sep),Chemung,38.71,"(42.116644, -76.812331)",9,Finger Lakes Donor Recovery Network,69003,26713,2015,01,2015-09-01,1065,0,0,2556
50477,09 (Sep),Chenango,29.43,"(42.481798, -75.570013)",9,Finger Lakes Donor Recovery Network,39211,11538,2015,01,2015-09-01,1065,0,0,2556
82128,09 (Sep),Clinton,34.54,"(44.731944, -73.548883)",9,Center for Donation and Transplant in New York,63797,22038,2015,01,2015-09-01,1065,0,0,2556
63096,09 (Sep),Columbia,38.51,"(42.276913, -73.682168)",9,Center for Donation and Transplant in New York,49013,18876,2015,01,2015-09-01,1065,0,0,2556
49336,09 (Sep),Cortland,35.14,"(42.597101, -76.143291)",9,Finger Lakes Donor Recovery Network,38324,13468,2015,01,2015-09-01,1065,0,0,2556
47980,09 (Sep),Delaware,28.61,"(42.242972, -74.997944)",9,Center for Donation and Transplant in New York,37271,10664,2015,01,2015-09-01,1065,0,0,2556
297488,09 (Sep),Dutchess,31,"(41.686216, -73.840468)",9,Center for Donation and Transplant in New York,231089,71645,2015,01,2015-09-01,1065,0,0,2556
919040,09 (Sep),Erie,35.66,"(42.888143, -78.795544)",9,UNYTS,713910,254546,2015,01,2015-09-01,1065,0,0,2556
39370,09 (Sep),Essex,37.62,"(44.166026, -73.685145)",9,Center for Donation and Transplant in New York,30583,11505,2015,01,2015-09-01,1065,0,0,2556
51599,09 (Sep),Franklin,33.09,"(44.705699, -74.340621)",9,Center for Donation and Transplant in New York,40082,13262,2015,01,2015-09-01,1065,0,0,2556
55531,09 (Sep),Fulton,28.9,"(43.06014, -74.331296)",9,Center for Donation and Transplant in New York,43136,12466,2015,01,2015-09-01,1065,0,0,2556
60079,09 (Sep),Genesee,37.06,"(43.000121, -78.172679)",9,UNYTS,46669,17297,2015,01,2015-09-01,1065,0,0,2556
49221,09 (Sep),Greene,35.15,"(42.298326, -73.973376)",9,Center for Donation and Transplant in New York,38235,13441,2015,01,2015-09-01,1065,0,0,2556
4836,09 (Sep),Hamilton,38.12,"(43.618468, -74.395268)",9,Center for Donation and Transplant in New York,3757,1432,2015,01,2015-09-01,1065,0,0,2556
64519,09 (Sep),Herkimer,33.63,"(43.070026, -74.994246)",9,Center for Donation and Transplant in New York,50118,16857,2015,01,2015-09-01,1065,0,0,2556
116229,09 (Sep),Jefferson,39.65,"(44.019295, -75.898971)",9,Finger Lakes Donor Recovery Network,90287,35799,2015,01,2015-09-01,1065,0,0,2556
2504700,09 (Sep),Kings,16.21,"(40.65642, -73.950691)",9,New York Organ Donor Network,1945651,315342,2015,01,2015-09-01,1065,0,0,2556
27087,09 (Sep),Lewis,38.38,"(43.785537, -75.446296)",9,Finger Lakes Donor Recovery Network,21041,8076,2015,01,2015-09-01,1065,0,0,2556
65393,09 (Sep),Livingston,34.59,"(42.763754, -77.765392)",9,Finger Lakes Donor Recovery Network,50797,17570,2015,01,2015-09-01,1065,0,0,2556
73442,09 (Sep),Madison,34.27,"(42.986917, -75.720031)",9,Finger Lakes Donor Recovery Network,57050,19551,2015,01,2015-09-01,1065,0,0,2556
744344,09 (Sep),Monroe,30.55,"(43.161748, -77.620143)",9,Finger Lakes Donor Recovery Network,578206,176628,2015,01,2015-09-01,1065,0,0,2556
50219,09 (Sep),Montgomery,27.29,"(42.933637, -74.341972)",9,Center for Donation and Transplant in New York,39010,10644,2015,01,2015-09-01,1065,0,0,2556
1339532,09 (Sep),Nassau,22.06,"(40.715749, -73.601185)",9,New York Organ Donor Network,1040548,229563,2015,01,2015-09-01,1065,0,0,2556
1585873,09 (Sep),New York,33.66,"(40.726966, -74.005966)",9,New York Organ Donor Network,1231906,414673,2015,01,2015-09-01,1065,0,0,2556
216469,09 (Sep),Niagara,40.17,"(43.134634, -78.856419)",9,UNYTS,168153,67555,2015,01,2015-09-01,1065,0,0,2556
234878,09 (Sep),Oneida,20.3,"(43.149482, -75.361773)",9,Center for Donation and Transplant in New York,182453,37037,2015,01,2015-09-01,1065,0,0,2556
467026,09 (Sep),Onondaga,33.76,"(43.065629, -76.168033)",9,Finger Lakes Donor Recovery Network,362786,122477,2015,01,2015-09-01,1065,0,0,2556
107931,09 (Sep),Ontario,40.98,"(42.894571, -77.252045)",9,Finger Lakes Donor Recovery Network,83841,34354,2015,01,2015-09-01,1065,0,0,2556
372813,09 (Sep),Orange,25.98,"(41.422459, -74.241929)",9,New York Organ Donor Network,289601,75227,2015,01,2015-09-01,1065,0,0,2556
42883,09 (Sep),Orleans,9.87,"(43.248394, -78.218438)",9,UNYTS,33312,3289,2015,01,2015-09-01,1065,0,0,2556
122109,09 (Sep),Oswego,30.44,"(43.39123, -76.31133)",9,Finger Lakes Donor Recovery Network,94854,28873,2015,01,2015-09-01,1065,0,0,2556
62259,09 (Sep),Otsego,34.72,"(42.564852, -75.060334)",9,Center for Donation and Transplant in New York,48363,16792,2015,01,2015-09-01,1065,0,0,2556
99710,09 (Sep),Putnam,33.23,"(41.41131, -73.717443)",9,New York Organ Donor Network,77455,25741,2015,01,2015-09-01,1065,0,0,2556
2230722,09 (Sep),Queens,12.96,"(40.749338, -73.789673)",9,New York Organ Donor Network,1732825,224652,2015,01,2015-09-01,1065,0,0,2556
159429,09 (Sep),Rensselaer,31.82,"(42.70098, -73.628669)",9,Center for Donation and Transplant in New York,123844,39401,2015,01,2015-09-01,1065,0,0,2556
468730,09 (Sep),Richmond,17.25,"(40.566763, -74.148102)",9,New York Organ Donor Network,364109,62814,2015,01,2015-09-01,1065,0,0,2556
311687,09 (Sep),Rockland,20.89,"(41.127287, -74.017033)",9,New York Organ Donor Network,242118,50572,2015,01,2015-09-01,1065,0,0,2556
219607,09 (Sep),Saratoga,44.26,"(43.00894, -73.786779)",9,Center for Donation and Transplant in New York,170591,75509,2015,01,2015-09-01,1065,0,0,2556
154727,09 (Sep),Schenectady,36.51,"(42.809233, -73.946838)",9,Center for Donation and Transplant in New York,120192,43888,2015,01,2015-09-01,1065,0,0,2556
32749,09 (Sep),Schoharie,34.19,"(42.643426, -74.434606)",9,Center for Donation and Transplant in New York,25439,8698,2015,01,2015-09-01,1065,0,0,2556
18343,09 (Sep),Schuyler,35.72,"(42.38593, -76.872032)",9,Finger Lakes Donor Recovery Network,14249,5090,2015,01,2015-09-01,1065,0,0,2556
35251,09 (Sep),Seneca,18,"(42.833627, -76.82753)",9,Finger Lakes Donor Recovery Network,27383,4929,2015,01,2015-09-01,1065,0,0,2556
98990,09 (Sep),Steuben,35.68,"(42.270053, -77.324618)",9,Finger Lakes Donor Recovery Network,76895,27433,2015,01,2015-09-01,1065,0,0,2556
111944,09 (Sep),St Lawrence,24.33,"(44.689468, -75.242045)",9,Center for Donation and Transplant in New York,86958,21161,2015,01,2015-09-01,1065,0,0,2556
1493350,09 (Sep),Suffolk,27.82,"(40.820237, -73.119032)",9,New York Organ Donor Network,1160034,322668,2015,01,2015-09-01,1065,0,0,2556
77547,09 (Sep),Sullivan,25.36,"(41.705166, -74.711705)",9,Center for Donation and Transplant in New York,60239,15276,2015,01,2015-09-01,1065,0,0,2556
