Year,Month,County,2012 Census Population,Population 18+ Estimate, Registry Enrollments,% Eligible Population Enrolled,OPO,Location,Chart Month
2015,11,Hamilton,4836,3757,1460,38.86,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",11 (Nov)
2015,11,Herkimer,64519,50118,17098,34.12,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",11 (Nov)
2015,11,Jefferson,116229,90287,36486,40.41,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",11 (Nov)
2015,11,Kings,2504700,1945651,331478,17.04,New York Organ Donor Network,"(40.65642, -73.950691)",11 (Nov)
2015,11,Lewis,27087,21041,8198,38.96,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",11 (Nov)
2015,11,Livingston,65393,50797,17863,35.17,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",11 (Nov)
2015,11,Madison,73442,57050,19978,35.02,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",11 (Nov)
2015,11,Monroe,744344,578206,180050,31.14,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",11 (Nov)
2015,11,Montgomery,50219,39010,10807,27.7,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",11 (Nov)
2015,11,Nassau,1339532,1040548,233929,22.48,New York Organ Donor Network,"(40.715749, -73.601185)",11 (Nov)
2015,11,New York,1585873,1231906,430821,34.97,New York Organ Donor Network,"(40.726966, -74.005966)",11 (Nov)
2015,11,Niagara,216469,168153,68448,40.71,UNYTS,"(43.134634, -78.856419)",11 (Nov)
2015,11,Oneida,234878,182453,37659,20.64,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",11 (Nov)
2015,11,Onondaga,467026,362786,124658,34.36,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",11 (Nov)
2015,11,Ontario,107931,83841,34985,41.73,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",11 (Nov)
2015,11,Orange,372813,289601,76763,26.51,New York Organ Donor Network,"(41.422459, -74.241929)",11 (Nov)
2015,11,Orleans,42883,33312,3380,10.15,UNYTS,"(43.248394, -78.218438)",11 (Nov)
2015,11,Oswego,122109,94854,29379,30.97,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",11 (Nov)
2015,11,Otsego,62259,48363,17026,35.2,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",11 (Nov)
2015,11,Out of State,0,0,179,0,,,11 (Nov)
2015,11,Putnam,99710,77455,26221,33.85,New York Organ Donor Network,"(41.41131, -73.717443)",11 (Nov)
2015,11,Queens,2230722,1732825,235679,13.6,New York Organ Donor Network,"(40.749338, -73.789673)",11 (Nov)
2015,11,Rensselaer,159429,123844,40200,32.46,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",11 (Nov)
2015,11,Richmond,468730,364109,64668,17.76,New York Organ Donor Network,"(40.566763, -74.148102)",11 (Nov)
2015,11,Rockland,311687,242118,51631,21.32,New York Organ Donor Network,"(41.127287, -74.017033)",11 (Nov)
2015,11,Saratoga,219607,170591,76952,45.11,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",11 (Nov)
2015,11,Schenectady,154727,120192,44538,37.06,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",11 (Nov)
2015,11,Schoharie,32749,25439,8820,34.67,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",11 (Nov)
2015,11,Schuyler,18343,14249,5155,36.18,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",11 (Nov)
2015,11,Seneca,35251,27383,4996,18.24,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",11 (Nov)
2015,11,Steuben,98990,76895,27877,36.25,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",11 (Nov)
2015,11,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",11 (Nov)
2015,11,Suffolk,1493350,1160034,328068,28.28,New York Organ Donor Network,"(40.820237, -73.119032)",11 (Nov)
2015,11,Sullivan,77547,60239,15589,25.88,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",11 (Nov)
2015,11,Tioga,51125,39714,14327,36.08,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",11 (Nov)
2015,11,Tompkins,101564,78895,40069,50.79,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",11 (Nov)
2015,11,TOTAL NYS,19378102,15052907,3887058,25.82,,,11 (Nov)
2015,11,Ulster,182493,141761,45032,31.77,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",11 (Nov)
2015,11,Unknown,0,0,21959,0,,,11 (Nov)
2015,11,Warren,65707,51041,14259,27.94,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",11 (Nov)
2015,11,Washington,63216,49106,14904,30.35,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",11 (Nov)
2015,11,Wayne,93772,72842,21722,29.82,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",11 (Nov)
2015,11,Westchester,949113,737271,179458,24.34,New York Organ Donor Network,"(41.039278, -73.805386)",11 (Nov)
2015,11,Wyoming,42155,32746,12045,36.78,UNYTS,"(42.723641, -78.204473)",11 (Nov)
2015,11,Yates,25348,19690,6864,34.86,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",11 (Nov)
2015,10,Albany,304204,236306,73471,31.09,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",10 (Oct)
2015,10,Allegany,48946,38021,13039,34.29,UNYTS,"(42.226801, -78.020567)",10 (Oct)
2015,10,Bronx,1385108,1075952,153892,14.3,New York Organ Donor Network,"(40.85589, -73.868294)",10 (Oct)
2015,10,Broome,200600,155826,53804,34.53,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",10 (Oct)
2015,10,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",10 (Oct)
2015,10,Cayuga,80026,62164,19591,31.52,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",10 (Oct)
2015,10,Chautauqua,134905,104794,39205,37.41,UNYTS,"(42.246904, -79.315313)",10 (Oct)
2015,10,Chemung,88830,69003,27000,39.13,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",10 (Oct)
2015,10,Chenango,50477,39211,11694,29.82,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",10 (Oct)
2015,10,Clinton,82128,63797,22310,34.97,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",10 (Oct)
2015,10,Columbia,63096,49013,19054,38.88,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",10 (Oct)
2015,10,Cortland,49336,38324,13616,35.53,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",10 (Oct)
2015,10,Delaware,47980,37271,10793,28.96,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",10 (Oct)
2015,10,Dutchess,297488,231089,72615,31.42,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",10 (Oct)
2015,10,Erie,919040,713910,257611,36.08,UNYTS,"(42.888143, -78.795544)",10 (Oct)
2015,10,Essex,39370,30583,11639,38.06,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",10 (Oct)
2015,10,Franklin,51599,40082,13409,33.45,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",10 (Oct)
2015,10,Fulton,55531,43136,12575,29.15,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",10 (Oct)
2015,10,Genesee,60079,46669,17475,37.44,UNYTS,"(43.000121, -78.172679)",10 (Oct)
2015,10,Greene,49221,38235,13577,35.51,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",10 (Oct)
2015,10,Hamilton,4836,3757,1453,38.67,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",10 (Oct)
2015,10,Herkimer,64519,50118,17012,33.94,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",10 (Oct)
2015,10,Jefferson,116229,90287,36247,40.15,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",10 (Oct)
2015,10,Kings,2504700,1945651,327392,16.83,New York Organ Donor Network,"(40.65642, -73.950691)",10 (Oct)
2015,10,Lewis,27087,21041,8153,38.75,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",10 (Oct)
2015,10,Livingston,65393,50797,17774,34.99,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",10 (Oct)
2015,10,Madison,73442,57050,19841,34.78,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",10 (Oct)
2015,10,Monroe,744344,578206,178886,30.94,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",10 (Oct)
2015,10,Montgomery,50219,39010,10759,27.58,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",10 (Oct)
2015,10,Nassau,1339532,1040548,232551,22.35,New York Organ Donor Network,"(40.715749, -73.601185)",10 (Oct)
2015,10,New York,1585873,1231906,426697,34.64,New York Organ Donor Network,"(40.726966, -74.005966)",10 (Oct)
2015,10,Niagara,216469,168153,68149,40.53,UNYTS,"(43.134634, -78.856419)",10 (Oct)
2015,10,Oneida,234878,182453,37412,20.51,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",10 (Oct)
2015,10,Onondaga,467026,362786,123925,34.16,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",10 (Oct)
2015,10,Ontario,107931,83841,34776,41.48,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",10 (Oct)
2015,10,Orange,372813,289601,76274,26.34,New York Organ Donor Network,"(41.422459, -74.241929)",10 (Oct)
2015,10,Orleans,42883,33312,3352,10.06,UNYTS,"(43.248394, -78.218438)",10 (Oct)
2015,10,Oswego,122109,94854,29229,30.81,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",10 (Oct)
2015,10,Otsego,62259,48363,16962,35.07,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",10 (Oct)
2015,10,Out of State,0,0,179,0,,,10 (Oct)
2015,10,Putnam,99710,77455,26086,33.68,New York Organ Donor Network,"(41.41131, -73.717443)",10 (Oct)
2015,10,Queens,2230722,1732825,232949,13.44,New York Organ Donor Network,"(40.749338, -73.789673)",10 (Oct)
2015,10,Rensselaer,159429,123844,39942,32.25,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",10 (Oct)
2015,10,Richmond,468730,364109,64142,17.62,New York Organ Donor Network,"(40.566763, -74.148102)",10 (Oct)
2015,10,Rockland,311687,242118,51295,21.19,New York Organ Donor Network,"(41.127287, -74.017033)",10 (Oct)
2015,10,Saratoga,219607,170591,76529,44.86,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",10 (Oct)
2015,10,Schenectady,154727,120192,44320,36.87,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",10 (Oct)
2015,10,Schoharie,32749,25439,8782,34.52,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",10 (Oct)
2015,10,Schuyler,18343,14249,5133,36.02,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",10 (Oct)
2015,10,Seneca,35251,27383,4978,18.18,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",10 (Oct)
2015,10,Steuben,98990,76895,27727,36.06,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",10 (Oct)
2015,10,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",10 (Oct)
2015,10,Suffolk,1493350,1160034,326452,28.14,New York Organ Donor Network,"(40.820237, -73.119032)",10 (Oct)
2015,10,Sullivan,77547,60239,15492,25.72,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",10 (Oct)
2015,10,Tioga,51125,39714,14259,35.9,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",10 (Oct)
2015,10,Tompkins,101564,78895,39851,50.51,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",10 (Oct)
2015,10,TOTAL NYS,19378102,15052907,3859064,25.64,,,10 (Oct)
2015,10,Ulster,182493,141761,44731,31.55,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",10 (Oct)
2015,10,Unknown,0,0,21750,0,,,10 (Oct)
2015,10,Warren,65707,51041,14199,27.82,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",10 (Oct)
2015,10,Washington,63216,49106,14853,30.25,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",10 (Oct)
2015,10,Wayne,93772,72842,21587,29.64,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",10 (Oct)
2015,10,Westchester,949113,737271,178358,24.19,New York Organ Donor Network,"(41.039278, -73.805386)",10 (Oct)
2015,10,Wyoming,42155,32746,11986,36.6,UNYTS,"(42.723641, -78.204473)",10 (Oct)
2015,10,Yates,25348,19690,6831,34.69,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",10 (Oct)
2015,9,Albany,304204,236306,72439,30.65,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",09 (Sep)
2015,9,Allegany,48946,38021,12925,33.99,UNYTS,"(42.226801, -78.020567)",09 (Sep)
2015,9,Bronx,1385108,1075952,148561,13.81,New York Organ Donor Network,"(40.85589, -73.868294)",09 (Sep)
2015,9,Broome,200600,155826,53229,34.16,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",09 (Sep)
2015,9,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",09 (Sep)
2015,9,Cayuga,80026,62164,19350,31.13,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",09 (Sep)
2015,9,Chautauqua,134905,104794,38955,37.17,UNYTS,"(42.246904, -79.315313)",09 (Sep)
2015,9,Chemung,88830,69003,26713,38.71,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",09 (Sep)
2015,9,Chenango,50477,39211,11538,29.43,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",09 (Sep)
2015,9,Clinton,82128,63797,22038,34.54,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",09 (Sep)
2015,9,Columbia,63096,49013,18876,38.51,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",09 (Sep)
2015,9,Cortland,49336,38324,13468,35.14,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",09 (Sep)
2015,9,Delaware,47980,37271,10664,28.61,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",09 (Sep)
2015,9,Dutchess,297488,231089,71645,31,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",09 (Sep)
2015,9,Erie,919040,713910,254546,35.66,UNYTS,"(42.888143, -78.795544)",09 (Sep)
2015,9,Essex,39370,30583,11505,37.62,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",09 (Sep)
2015,9,Franklin,51599,40082,13262,33.09,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",09 (Sep)
2015,9,Fulton,55531,43136,12466,28.9,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",09 (Sep)
2015,9,Genesee,60079,46669,17297,37.06,UNYTS,"(43.000121, -78.172679)",09 (Sep)
2015,9,Greene,49221,38235,13441,35.15,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",09 (Sep)
2015,9,Hamilton,4836,3757,1432,38.12,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",09 (Sep)
2015,9,Herkimer,64519,50118,16857,33.63,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",09 (Sep)
2015,9,Jefferson,116229,90287,35799,39.65,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",09 (Sep)
2015,9,Kings,2504700,1945651,315342,16.21,New York Organ Donor Network,"(40.65642, -73.950691)",09 (Sep)
2015,9,Lewis,27087,21041,8076,38.38,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",09 (Sep)
2015,9,Livingston,65393,50797,17570,34.59,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",09 (Sep)
2015,9,Madison,73442,57050,19551,34.27,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",09 (Sep)
2015,9,Monroe,744344,578206,176628,30.55,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",09 (Sep)
2015,9,Montgomery,50219,39010,10644,27.29,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",09 (Sep)
2015,9,Nassau,1339532,1040548,229563,22.06,New York Organ Donor Network,"(40.715749, -73.601185)",09 (Sep)
2015,9,New York,1585873,1231906,414673,33.66,New York Organ Donor Network,"(40.726966, -74.005966)",09 (Sep)
2015,9,Niagara,216469,168153,67555,40.17,UNYTS,"(43.134634, -78.856419)",09 (Sep)
2015,9,Oneida,234878,182453,37037,20.3,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",09 (Sep)
2015,9,Onondaga,467026,362786,122477,33.76,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",09 (Sep)
2015,9,Ontario,107931,83841,34354,40.98,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",09 (Sep)
2015,9,Orange,372813,289601,75227,25.98,New York Organ Donor Network,"(41.422459, -74.241929)",09 (Sep)
2015,9,Orleans,42883,33312,3289,9.87,UNYTS,"(43.248394, -78.218438)",09 (Sep)
2015,9,Oswego,122109,94854,28873,30.44,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",09 (Sep)
2015,9,Otsego,62259,48363,16792,34.72,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",09 (Sep)
2015,9,Out of State,0,0,179,0,,,09 (Sep)
2015,9,Putnam,99710,77455,25741,33.23,New York Organ Donor Network,"(41.41131, -73.717443)",09 (Sep)
2015,9,Queens,2230722,1732825,224652,12.96,New York Organ Donor Network,"(40.749338, -73.789673)",09 (Sep)
2015,9,Rensselaer,159429,123844,39401,31.82,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",09 (Sep)
2015,9,Richmond,468730,364109,62814,17.25,New York Organ Donor Network,"(40.566763, -74.148102)",09 (Sep)
2015,9,Rockland,311687,242118,50572,20.89,New York Organ Donor Network,"(41.127287, -74.017033)",09 (Sep)
2015,9,Saratoga,219607,170591,75509,44.26,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",09 (Sep)
2015,9,Schenectady,154727,120192,43888,36.51,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",09 (Sep)
2015,9,Schoharie,32749,25439,8698,34.19,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",09 (Sep)
2015,9,Schuyler,18343,14249,5090,35.72,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",09 (Sep)
2015,9,Seneca,35251,27383,4929,18,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",09 (Sep)
2015,9,Steuben,98990,76895,27433,35.68,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",09 (Sep)
2015,9,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",09 (Sep)
2015,9,Suffolk,1493350,1160034,322668,27.82,New York Organ Donor Network,"(40.820237, -73.119032)",09 (Sep)
2015,9,Sullivan,77547,60239,15276,25.36,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",09 (Sep)
2015,9,Tioga,51125,39714,14118,35.55,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",09 (Sep)
2015,9,Tompkins,101564,78895,39360,49.89,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",09 (Sep)
2015,9,TOTAL NYS,19378102,15052907,3788459,25.17,,,09 (Sep)
2015,9,Ulster,182493,141761,44274,31.23,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",09 (Sep)
2015,9,Unknown,0,0,21178,0,,,09 (Sep)
2015,9,Warren,65707,51041,14043,27.51,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",09 (Sep)
2015,9,Washington,63216,49106,14674,29.88,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",09 (Sep)
2015,9,Wayne,93772,72842,21370,29.34,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",09 (Sep)
2015,9,Westchester,949113,737271,175803,23.85,New York Organ Donor Network,"(41.039278, -73.805386)",09 (Sep)
2015,9,Wyoming,42155,32746,11904,36.35,UNYTS,"(42.723641, -78.204473)",09 (Sep)
2015,9,Yates,25348,19690,6789,34.48,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",09 (Sep)
2015,8,Albany,304204,236306,72439,30.65,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",08 (Aug)
2015,8,Allegany,48946,38021,12925,33.99,UNYTS,"(42.226801, -78.020567)",08 (Aug)
2015,8,Bronx,1385108,1075952,148561,13.81,New York Organ Donor Network,"(40.85589, -73.868294)",08 (Aug)
2015,8,Broome,200600,155826,53229,34.16,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",08 (Aug)
2015,8,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",08 (Aug)
2015,8,Cayuga,80026,62164,19350,31.13,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",08 (Aug)
2015,8,Chautauqua,134905,104794,38955,37.17,UNYTS,"(42.246904, -79.315313)",08 (Aug)
2015,8,Chemung,88830,69003,26713,38.71,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",08 (Aug)
2015,8,Chenango,50477,39211,11538,29.43,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",08 (Aug)
2015,8,Clinton,82128,63797,22038,34.54,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",08 (Aug)
2015,8,Columbia,63096,49013,18876,38.51,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",08 (Aug)
2015,8,Cortland,49336,38324,13468,35.14,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",08 (Aug)
2015,8,Delaware,47980,37271,10664,28.61,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",08 (Aug)
2015,8,Dutchess,297488,231089,71645,31,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",08 (Aug)
2015,8,Erie,919040,713910,254546,35.66,UNYTS,"(42.888143, -78.795544)",08 (Aug)
2015,8,Essex,39370,30583,11505,37.62,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",08 (Aug)
2015,8,Franklin,51599,40082,13262,33.09,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",08 (Aug)
2015,8,Fulton,55531,43136,12466,28.9,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",08 (Aug)
2015,8,Genesee,60079,46669,17297,37.06,UNYTS,"(43.000121, -78.172679)",08 (Aug)
2015,8,Greene,49221,38235,13441,35.15,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",08 (Aug)
2015,8,Hamilton,4836,3757,1432,38.12,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",08 (Aug)
2015,8,Herkimer,64519,50118,16857,33.63,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",08 (Aug)
2015,8,Jefferson,116229,90287,35799,39.65,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",08 (Aug)
2015,8,Kings,2504700,1945651,315342,16.21,New York Organ Donor Network,"(40.65642, -73.950691)",08 (Aug)
2015,8,Lewis,27087,21041,8076,38.38,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",08 (Aug)
2015,8,Livingston,65393,50797,17570,34.59,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",08 (Aug)
2015,8,Madison,73442,57050,19551,34.27,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",08 (Aug)
2015,8,Monroe,744344,578206,176628,30.55,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",08 (Aug)
2015,8,Montgomery,50219,39010,10644,27.29,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",08 (Aug)
2015,8,Nassau,1339532,1040548,229563,22.06,New York Organ Donor Network,"(40.715749, -73.601185)",08 (Aug)
2015,8,New York,1585873,1231906,414673,33.66,New York Organ Donor Network,"(40.726966, -74.005966)",08 (Aug)
2015,8,Niagara,216469,168153,67555,40.17,UNYTS,"(43.134634, -78.856419)",08 (Aug)
2015,8,Oneida,234878,182453,37037,20.3,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",08 (Aug)
2015,8,Onondaga,467026,362786,122477,33.76,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",08 (Aug)
2015,8,Ontario,107931,83841,34354,40.98,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",08 (Aug)
2015,8,Orange,372813,289601,75227,25.98,New York Organ Donor Network,"(41.422459, -74.241929)",08 (Aug)
2015,8,Orleans,42883,33312,3289,9.87,UNYTS,"(43.248394, -78.218438)",08 (Aug)
2015,8,Oswego,122109,94854,28873,30.44,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",08 (Aug)
2015,8,Otsego,62259,48363,16792,34.72,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",08 (Aug)
2015,8,Out of State,0,0,179,0,,,08 (Aug)
2015,8,Putnam,99710,77455,25741,33.23,New York Organ Donor Network,"(41.41131, -73.717443)",08 (Aug)
2015,8,Queens,2230722,1732825,224652,12.96,New York Organ Donor Network,"(40.749338, -73.789673)",08 (Aug)
2015,8,Rensselaer,159429,123844,39401,31.82,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",08 (Aug)
2015,8,Richmond,468730,364109,62814,17.25,New York Organ Donor Network,"(40.566763, -74.148102)",08 (Aug)
2015,8,Rockland,311687,242118,50572,20.89,New York Organ Donor Network,"(41.127287, -74.017033)",08 (Aug)
